Year,Month,Measure,Value
1901,Feb,mean,17
1901,Feb,min,10
1901,Mar,max,58
1901,Mar,mean,30
1901,Mar,min,9
1901,Apr,max,75
1901,Apr,mean,39
1901,Apr,min,33
1901,May,max,84
1901,May,mean,48
1901,May,min,38
1901,Jun,max,97
1901,Jun,mean,59
1901,Jun,min,49
1901,Jul,max,96
1901,Jul,mean,65
1901,Jul,min,53
1901,Aug,max,88
1901,Aug,mean,64
1901,Aug,min,59
1901,Sep,max,89
1901,Sep,mean,57
1901,Sep,min,44
1901,Oct,max,76
1901,Oct,mean,46
1901,Oct,min,35
1901,Nov,max,65
1901,Nov,mean,31
1901,Nov,min,12
1901,Dec,max,64
1901,Dec,mean,25
1901,Dec,min,9
1902,Jan,max,54
1902,Jan,mean,19
1902,Jan,min,4
1902,Feb,max,52
1902,Feb,mean,23
1902,Feb,min,12
1902,Mar,max,69
1902,Mar,mean,36
1902,Mar,min,26
1902,Apr,max,75
1902,Apr,mean,41
1902,Apr,min,34
1902,May,max,88
1902,May,mean,49
1902,May,min,34
1902,Jun,max,92
1902,Jun,mean,55
1902,Jun,min,49
1902,Jul,max,91
1902,Jul,mean,61
1902,Jul,min,52
1902,Aug,max,85
1902,Aug,mean,60
1902,Aug,min,53
1902,Sep,max,89
1902,Sep,mean,56
1902,Sep,min,47
1902,Oct,max,76
1902,Oct,mean,46
1902,Oct,min,33
1902,Nov,max,70
1902,Nov,mean,38
1902,Nov,min,28
1902,Dec,max,58
1902,Dec,mean,20
1902,Dec,min,-8
1903,Jan,max,50
1903,Jan,mean,21
1903,Jan,min,-1
1903,Feb,max,62
1903,Feb,mean,24
1903,Feb,min,3
1903,Mar,max,76
1903,Mar,mean,36
1903,Mar,min,23
1903,Apr,max,83
1903,Apr,mean,40
1903,Apr,min,26
1903,May,max,88
1903,May,mean,50
1903,May,min,34
1903,Jun,max,85
1903,Jun,mean,53
1903,Jun,min,48
1903,Jul,max,93
1903,Jul,mean,63
1903,Jul,min,55
1903,Aug,max,86
1903,Aug,mean,58
1903,Aug,min,52
1903,Sep,max,91
1903,Sep,mean,56
1903,Sep,min,42
1903,Oct,max,76
1903,Oct,mean,47
1903,Oct,min,31
1903,Nov,max,74
1903,Nov,mean,33
1903,Nov,min,15
1903,Dec,max,55
1903,Dec,mean,21
1903,Dec,min,2
1904,Jan,max,46
1904,Jan,mean,14
1904,Jan,min,-6
1904,Feb,max,49
1904,Feb,mean,14
1904,Feb,min,-1
1904,Mar,max,70
1904,Mar,mean,27
1904,Mar,min,8
1904,Apr,max,70
1904,Apr,mean,37
1904,Apr,min,26
1904,May,max,87
1904,May,mean,52
1904,May,min,43
1904,Jun,max,92
1904,Jun,mean,56
1904,Jun,min,48
1904,Jul,max,89
1904,Jul,mean,64
1904,Jul,min,56
1904,Aug,max,89
1904,Aug,mean,61
1904,Aug,min,52
1904,Sep,max,86
1904,Sep,mean,54
1904,Sep,min,35
1904,Oct,max,74
1904,Oct,mean,42
1904,Oct,min,27
1904,Nov,max,60
1904,Nov,mean,31
1904,Nov,min,15
1904,Dec,max,49
1904,Dec,mean,19
1904,Dec,min,6
1905,Jan,max,52
1905,Jan,mean,18
1905,Jan,min,4
1905,Feb,max,43
1905,Feb,mean,16
1905,Feb,min,3
1905,Mar,max,69
1905,Mar,mean,29
1905,Mar,min,12
1905,Apr,max,74
1905,Apr,mean,38
1905,Apr,min,30
1905,May,max,83
1905,May,mean,49
1905,May,min,38
1905,Jun,max,90
1905,Jun,mean,57
1905,Jun,min,46
1905,Jul,max,94
1905,Jul,mean,65
1905,Jul,min,59
1905,Aug,max,90
1905,Aug,mean,62
1905,Aug,min,51
1905,Sep,max,81
1905,Sep,mean,55
1905,Sep,min,41
1905,Oct,max,80
1905,Oct,mean,46
1905,Oct,min,32
1905,Nov,max,64
1905,Nov,mean,33
1905,Nov,min,13
1905,Dec,max,61
1905,Dec,mean,28
1905,Dec,min,8
1906,Jan,max,68
1906,Jan,mean,28
1906,Jan,min,9
1906,Feb,max,63
1906,Feb,mean,22
1906,Feb,min,-1
1906,Mar,max,56
1906,Mar,mean,25
1906,Mar,min,8
1906,Apr,max,70
1906,Apr,mean,40
1906,Apr,min,28
1906,May,max,86
1906,May,mean,49
1906,May,min,38
1906,Jun,max,88
1906,Jun,mean,58
1906,Jun,min,46
1906,Jul,max,89
1906,Jul,mean,64
1906,Jul,min,55
1906,Aug,max,93
1906,Aug,mean,65
1906,Aug,min,57
1906,Sep,max,90
1906,Sep,mean,57
1906,Sep,min,44
